result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:42:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:42:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:42:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:42:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:42:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:43:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:44:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:45:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:46:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:47:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:45+00:00,0,beacon,wireless,pi,wlan0
